Time:
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 3.9527851752666375e-24; Enco 2: 409445502; Joint 2: 2.3567351677679352e-24; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 5.529935850413281e-24; Enco 2: 413455787; Joint 2: 3.1453103081260307e-24; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 7.595406019818478e-24; Enco 2: 417441768; Joint 2: 4.558387775748019e-24; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 1.0749707370111765e-23; Enco 2: 421439481; Joint 2: 6.135207918175375e-24; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 1.4578416163470263e-23; Enco 2: 425436357; Joint 2: 8.806610431920336e-24; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 2.0879084501072124e-23; Enco 2: 429438261; Joint 2: 1.1969507210636911e-23; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 2.790295053986621e-23; Enco 2: 433432622; Joint 2: 1.700082498767398e-23; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 4.051750852384144e-23; Enco 2: 437431174; Joint 2: 2.33028170338748e-23; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
